strain,time,rep,nt,ht,nt-dil,ht-dil
Spo_0A,8352,C,88,0,4,2
Spo_0A,8352,D,120,0,4,2
Spo_0A,8400,A,72,0,4,2
Spo_0A,8400,B,90,0,4,2
Spo_0A,8400,C,78,0,4,2
Spo_0A,8400,D,97,0,4,2
Spo_0A,8448,A,60,0,4,2
Spo_0A,8448,B,101,0,4,2
Spo_0A,8448,C,83,0,4,2
Spo_0A,8448,D,95,0,4,2
Spo_0A,8496,A,71,0,4,2
Spo_0A,8496,B,96,0,4,2
Spo_0A,8496,C,105,0,4,2
Spo_0A,8496,D,71,0,4,2
Spo_0A,8544,A,54,0,4,2
Spo_0A,8544,B,51,0,4,2
Spo_0A,8544,C,57,0,4,2
Spo_0A,8544,D,47,0,4,2
Spo_0A,8592,A,58,0,4,2
Spo_0A,8592,B,65,0,4,2
Spo_0A,8592,C,89,0,4,2
Spo_0A,8592,D,55,0,4,2
Spo_0A,8640,A,69,0,4,2
Spo_0A,8640,B,71,0,4,2
Spo_0A,8640,C,70,0,4,2
Spo_0A,8640,D,82,0,4,2
Spo_0A,8688,A,32,0,4,2
Spo_0A,8688,B,39,0,4,2
Spo_0A,8688,C,22,0,4,2
Spo_0A,8688,D,38,0,4,2
Spo_0A,8736,A,42,0,4,2
Spo_0A,8736,B,61,0,4,2
Spo_0A,8736,C,50,0,4,2
Spo_0A,8736,D,63,0,4,2
Spo_0A,8784,A,65,0,4,2
Spo_0A,8784,B,68,0,4,2
Spo_0A,8784,C,55,0,4,2
Spo_0A,8784,D,66,0,4,2
